index	name	color	chinese_name	side
8212	"Right-MDl"	#00aa7f	MDl	R
8213	"Right-MDm"	#aaaa7f	MDm	R
8215	"Right-MGN"	#aaff7f	MGN	R
8216	"Right-MV(Re)"	#0000ff	MV(Re)	R
8217	"Right-Pc"	#aa00ff	Pc	R
8218	"Right-Pf"	#0055ff	Pf	R
8219	"Right-Pt"	#aa55ff	Pt	R
8220	"Right-PuA"	#00aaff	PuA	R
8221	"Right-PuI"	#aaaaff	PuI	R
8222	"Right-PuL"	#00ffff	PuL	R
8223	"Right-PuM"	#aaffff	PuM	R
8225	"Right-R"	#ff0000	R	R
8226	"Right-VA"	#555500	VA	R
8227	"Right-VAmc"	#ff5500	VAmc	R
8228	"Right-VLa"	#55aa00	VLa	R
8229	"Right-VLp"	#ffaa00	VLp	R
8230	"Right-VM"	#55ff00	VM	R
8233	"Right-VPL"	#ff00ff	VPL	R
9000	"ctx-lh-prefrontal"	#32641e	ctx prefrontal	L
9001	"ctx-lh-primary-motor"	#1e642d	ctx primary motor	L
9002	"ctx-lh-premotor"	#8264a5	ctx premotor	L
9003	"ctx-lh-temporal"	#691905	ctx temporal	L
9004	"ctx-lh-posterior-parietal"	#7d4637	ctx posterior parietal	L
9005	"ctx-lh-prim-sec-somatosensory"	#e11469	ctx prim sec somatosensory	L
9006	"ctx-lh-occipital"	#e1140f	ctx occipital	L
9500	"ctx-rh-prefrontal"	#32c81e	ctx prefrontal	R
9501	"ctx-rh-primary-motor"	#1e962d	ctx primary motor	R
9502	"ctx-rh-premotor"	#8296a5	ctx premotor	R
9503	"ctx-rh-temporal"	#694b05	ctx temporal	R
9504	"ctx-rh-posterior-parietal"	#7d7837	ctx posterior parietal	R
9505	"ctx-rh-prim-sec-somatosensory"	#e14669	ctx prim sec somatosensory	R
9506	"ctx-rh-occipital"	#e1460f	ctx occipital	R
11100	"ctx_lh_Unknown"	#000000	未知	
11101	"ctx_lh_G_and_S_frontomargin"	#17dc3c	ctx_lh_G_and_S_frontomargin	
11102	"ctx_lh_G_and_S_occipital_inf"	#173cb4	ctx_lh_G_and_S_occipital_inf	
11103	"ctx_lh_G_and_S_paracentral"	#3f643c	旁中央小叶	
11104	"ctx_lh_G_and_S_subcentral"	#3f14dc	ctx_lh_G_and_S_subcentral	
11105	"ctx_lh_G_and_S_transv_frontopol"	#0d00fa	ctx_lh_G_and_S_transv_frontopol	
11106	"ctx_lh_G_and_S_cingul-Ant"	#1a3c00	ctx_lh_G_and_S_cingul Ant	
11107	"ctx_lh_G_and_S_cingul-Mid-Ant"	#1a3c4b	ctx_lh_G_and_S_cingul Mid Ant	
11108	"ctx_lh_G_and_S_cingul-Mid-Post"	#1a3c96	ctx_lh_G_and_S_cingul Mid Post	
11109	"ctx_lh_G_cingul-Post-dorsal"	#193cfa	ctx_lh_G_cingul Post dorsal	
11110	"ctx_lh_G_cingul-Post-ventral"	#3c1919	ctx_lh_G_cingul Post ventral	
11111	"ctx_lh_G_cuneus"	#b41414	楔叶	
11112	"ctx_lh_G_front_inf-Opercular"	#dc1464	ctx_lh_G_front_inf Opercular	
11113	"ctx_lh_G_front_inf-Orbital"	#8c3c3c	ctx_lh_G_front_inf Orbital	
11114	"ctx_lh_G_front_inf-Triangul"	#b4dc8c	ctx_lh_G_front_inf Triangul	
11115	"ctx_lh_G_front_middle"	#8c64b4	ctx_lh_G_front_middle	
11116	"ctx_lh_G_front_sup"	#b4148c	ctx_lh_G_front_sup	
11117	"ctx_lh_G_Ins_lg_and_S_cent_ins"	#170a0a	ctx_lh_G_Ins_lg_and_S_cent_ins	
11118	"ctx_lh_G_insular_short"	#e18c8c	岛叶	
11119	"ctx_lh_G_occipital_middle"	#b43cb4	ctx_lh_G_occipital_middle	
11120	"ctx_lh_G_occipital_sup"	#14dc3c	ctx_lh_G_occipital_sup	
11121	"ctx_lh_G_oc-temp_lat-fusifor"	#3c148c	ctx_lh_G_oc temp_lat fusifor	
11122	"ctx_lh_G_oc-temp_med-Lingual"	#dcb48c	ctx_lh_G_oc temp_med Lingual	
11123	"ctx_lh_G_oc-temp_med-Parahip"	#416414	ctx_lh_G_oc temp_med Parahip	
11124	"ctx_lh_G_orbital"	#dc3c14	ctx_lh_G_orbital	
11125	"ctx_lh_G_pariet_inf-Angular"	#143cdc	ctx_lh_G_pariet_inf Angular	
11126	"ctx_lh_G_pariet_inf-Supramar"	#64643c	ctx_lh_G_pariet_inf Supramar	
11127	"ctx_lh_G_parietal_sup"	#dcb4dc	ctx_lh_G_parietal_sup	
11128	"ctx_lh_G_postcentral"	#14b48c	中央后回	
11129	"ctx_lh_G_precentral"	#3c8cb4	中央前回	
11130	"ctx_lh_G_precuneus"	#19148c	楔叶	
11131	"ctx_lh_G_rectus"	#143c64	ctx_lh_G_rectus	
11132	"ctx_lh_G_subcallosal"	#3cdc14	ctx_lh_G_subcallosal	
11133	"ctx_lh_G_temp_sup-G_T_transv"	#3c3cdc	ctx_lh_G_temp_sup G_T_transv	
11134	"ctx_lh_G_temp_sup-Lateral"	#dc3cdc	ctx_lh_G_temp_sup Lateral	
11135	"ctx_lh_G_temp_sup-Plan_polar"	#41dc3c	ctx_lh_G_temp_sup Plan_polar	
11136	"ctx_lh_G_temp_sup-Plan_tempo"	#198c14	ctx_lh_G_temp_sup Plan_tempo	
11137	"ctx_lh_G_temporal_inf"	#dcdc64	ctx_lh_G_temporal_inf	
11138	"ctx_lh_G_temporal_middle"	#b43c3c	ctx_lh_G_temporal_middle	
11139	"ctx_lh_Lat_Fis-ant-Horizont"	#3d14dc	ctx_lh_Lat_Fis ant Horizont	
11140	"ctx_lh_Lat_Fis-ant-Vertical"	#3d143c	ctx_lh_Lat_Fis ant Vertical	
11141	"ctx_lh_Lat_Fis-post"	#3d3c64	ctx_lh_Lat_Fis post	
11142	"ctx_lh_Medial_wall"	#191919	ctx_lh_Medial_wall	
11143	"ctx_lh_Pole_occipital"	#8c143c	ctx_lh_Pole_occipital	
11144	"ctx_lh_Pole_temporal"	#dcb414	ctx_lh_Pole_temporal	
11145	"ctx_lh_S_calcarine"	#3fb4b4	ctx_lh_S_calcarine	
11146	"ctx_lh_S_central"	#dd140a	ctx_lh_S_central	
11147	"ctx_lh_S_cingul-Marginalis"	#dd1464	ctx_lh_S_cingul Marginalis	
11148	"ctx_lh_S_circular_insula_ant"	#dd3c8c	岛叶	
11149	"ctx_lh_S_circular_insula_inf"	#dd14dc	岛叶	
11150	"ctx_lh_S_circular_insula_sup"	#3ddcdc	岛叶	
11151	"ctx_lh_S_collat_transv_ant"	#64c8c8	ctx_lh_S_collat_transv_ant	
11152	"ctx_lh_S_collat_transv_post"	#0ac8c8	ctx_lh_S_collat_transv_post	
11153	"ctx_lh_S_front_inf"	#dddc14	ctx_lh_S_front_inf	
11154	"ctx_lh_S_front_middle"	#8d1464	ctx_lh_S_front_middle	
11155	"ctx_lh_S_front_sup"	#3ddc64	ctx_lh_S_front_sup	
11156	"ctx_lh_S_interm_prim-Jensen"	#8d3c14	ctx_lh_S_interm_prim Jensen	
11157	"ctx_lh_S_intrapariet_and_P_trans"	#8f14dc	ctx_lh_S_intrapariet_and_P_trans	
11158	"ctx_lh_S_oc_middle_and_Lunatus"	#653cdc	ctx_lh_S_oc_middle_and_Lunatus	
11159	"ctx_lh_S_oc_sup_and_transversal"	#15148c	ctx_lh_S_oc_sup_and_transversal	
11160	"ctx_lh_S_occipital_ant"	#3d14b4	ctx_lh_S_occipital_ant	
11161	"ctx_lh_S_oc-temp_lat"	#dd8c14	ctx_lh_S_oc temp_lat	
11162	"ctx_lh_S_oc-temp_med_and_Lingual"	#8d64dc	ctx_lh_S_oc temp_med_and_Lingual	
11163	"ctx_lh_S_orbital_lateral"	#dd6414	ctx_lh_S_orbital_lateral	
11164	"ctx_lh_S_orbital_med-olfact"	#b5c814	ctx_lh_S_orbital_med olfact	
11165	"ctx_lh_S_orbital-H_Shaped"	#651414	ctx_lh_S_orbital H_Shaped	
11166	"ctx_lh_S_parieto_occipital"	#6564b4	ctx_lh_S_parieto_occipital	
11167	"ctx_lh_S_pericallosal"	#b5dc14	ctx_lh_S_pericallosal	
11168	"ctx_lh_S_postcentral"	#158cc8	中央后回	
11169	"ctx_lh_S_precentral-inf-part"	#1514f0	中央前回	
11170	"ctx_lh_S_precentral-sup-part"	#1514c8	中央前回	
11171	"ctx_lh_S_suborbital"	#15143c	ctx_lh_S_suborbital	
11172	"ctx_lh_S_subparietal"	#653c3c	ctx_lh_S_subparietal	
11173	"ctx_lh_S_temporal_inf"	#15b4b4	ctx_lh_S_temporal_inf	
11174	"ctx_lh_S_temporal_sup"	#dfdc3c	ctx_lh_S_temporal_sup	
11175	"ctx_lh_S_temporal_transverse"	#dd3c3c	ctx_lh_S_temporal_transverse	
12100	"ctx_rh_Unknown"	#000000	未知	
12101	"ctx_rh_G_and_S_frontomargin"	#17dc3c	ctx_rh_G_and_S_frontomargin	
12102	"ctx_rh_G_and_S_occipital_inf"	#173cb4	ctx_rh_G_and_S_occipital_inf	
12103	"ctx_rh_G_and_S_paracentral"	#3f643c	旁中央小叶	
12104	"ctx_rh_G_and_S_subcentral"	#3f14dc	ctx_rh_G_and_S_subcentral	
12105	"ctx_rh_G_and_S_transv_frontopol"	#0d00fa	ctx_rh_G_and_S_transv_frontopol	
12106	"ctx_rh_G_and_S_cingul-Ant"	#1a3c00	ctx_rh_G_and_S_cingul Ant	
12107	"ctx_rh_G_and_S_cingul-Mid-Ant"	#1a3c4b	ctx_rh_G_and_S_cingul Mid Ant	
12108	"ctx_rh_G_and_S_cingul-Mid-Post"	#1a3c96	ctx_rh_G_and_S_cingul Mid Post	
12109	"ctx_rh_G_cingul-Post-dorsal"	#193cfa	ctx_rh_G_cingul Post dorsal	
12110	"ctx_rh_G_cingul-Post-ventral"	#3c1919	ctx_rh_G_cingul Post ventral	
12111	"ctx_rh_G_cuneus"	#b41414	楔叶	
12112	"ctx_rh_G_front_inf-Opercular"	#dc1464	ctx_rh_G_front_inf Opercular	
12113	"ctx_rh_G_front_inf-Orbital"	#8c3c3c	ctx_rh_G_front_inf Orbital	
12114	"ctx_rh_G_front_inf-Triangul"	#b4dc8c	ctx_rh_G_front_inf Triangul	
12115	"ctx_rh_G_front_middle"	#8c64b4	ctx_rh_G_front_middle	
12116	"ctx_rh_G_front_sup"	#b4148c	ctx_rh_G_front_sup	
12117	"ctx_rh_G_Ins_lg_and_S_cent_ins"	#170a0a	ctx_rh_G_Ins_lg_and_S_cent_ins	
12118	"ctx_rh_G_insular_short"	#e18c8c	岛叶	
12119	"ctx_rh_G_occipital_middle"	#b43cb4	ctx_rh_G_occipital_middle	
12120	"ctx_rh_G_occipital_sup"	#14dc3c	ctx_rh_G_occipital_sup	
12121	"ctx_rh_G_oc-temp_lat-fusifor"	#3c148c	ctx_rh_G_oc temp_lat fusifor	
12122	"ctx_rh_G_oc-temp_med-Lingual"	#dcb48c	ctx_rh_G_oc temp_med Lingual	
12123	"ctx_rh_G_oc-temp_med-Parahip"	#416414	ctx_rh_G_oc temp_med Parahip	
12124	"ctx_rh_G_orbital"	#dc3c14	ctx_rh_G_orbital	
12125	"ctx_rh_G_pariet_inf-Angular"	#143cdc	ctx_rh_G_pariet_inf Angular	
12126	"ctx_rh_G_pariet_inf-Supramar"	#64643c	ctx_rh_G_pariet_inf Supramar	
12127	"ctx_rh_G_parietal_sup"	#dcb4dc	ctx_rh_G_parietal_sup	
12128	"ctx_rh_G_postcentral"	#14b48c	中央后回	
12129	"ctx_rh_G_precentral"	#3c8cb4	中央前回	
12130	"ctx_rh_G_precuneus"	#19148c	楔叶	
12131	"ctx_rh_G_rectus"	#143c64	ctx_rh_G_rectus	
12132	"ctx_rh_G_subcallosal"	#3cdc14	ctx_rh_G_subcallosal	
12133	"ctx_rh_G_temp_sup-G_T_transv"	#3c3cdc	ctx_rh_G_temp_sup G_T_transv	
12134	"ctx_rh_G_temp_sup-Lateral"	#dc3cdc	ctx_rh_G_temp_sup Lateral	
12135	"ctx_rh_G_temp_sup-Plan_polar"	#41dc3c	ctx_rh_G_temp_sup Plan_polar	
12136	"ctx_rh_G_temp_sup-Plan_tempo"	#198c14	ctx_rh_G_temp_sup Plan_tempo	
12137	"ctx_rh_G_temporal_inf"	#dcdc64	ctx_rh_G_temporal_inf	
12138	"ctx_rh_G_temporal_middle"	#b43c3c	ctx_rh_G_temporal_middle	
12139	"ctx_rh_Lat_Fis-ant-Horizont"	#3d14dc	ctx_rh_Lat_Fis ant Horizont	
12140	"ctx_rh_Lat_Fis-ant-Vertical"	#3d143c	ctx_rh_Lat_Fis ant Vertical	
12141	"ctx_rh_Lat_Fis-post"	#3d3c64	ctx_rh_Lat_Fis post	
12142	"ctx_rh_Medial_wall"	#191919	ctx_rh_Medial_wall	
12143	"ctx_rh_Pole_occipital"	#8c143c	ctx_rh_Pole_occipital	
12144	"ctx_rh_Pole_temporal"	#dcb414	ctx_rh_Pole_temporal	
12145	"ctx_rh_S_calcarine"	#3fb4b4	ctx_rh_S_calcarine	
12146	"ctx_rh_S_central"	#dd140a	ctx_rh_S_central	
12147	"ctx_rh_S_cingul-Marginalis"	#dd1464	ctx_rh_S_cingul Marginalis	
12148	"ctx_rh_S_circular_insula_ant"	#dd3c8c	岛叶	
12149	"ctx_rh_S_circular_insula_inf"	#dd14dc	岛叶	
12150	"ctx_rh_S_circular_insula_sup"	#3ddcdc	岛叶	
12151	"ctx_rh_S_collat_transv_ant"	#64c8c8	ctx_rh_S_collat_transv_ant	
12152	"ctx_rh_S_collat_transv_post"	#0ac8c8	ctx_rh_S_collat_transv_post	
12153	"ctx_rh_S_front_inf"	#dddc14	ctx_rh_S_front_inf	
12154	"ctx_rh_S_front_middle"	#8d1464	ctx_rh_S_front_middle	
12155	"ctx_rh_S_front_sup"	#3ddc64	ctx_rh_S_front_sup	
12156	"ctx_rh_S_interm_prim-Jensen"	#8d3c14	ctx_rh_S_interm_prim Jensen	
12157	"ctx_rh_S_intrapariet_and_P_trans"	#8f14dc	ctx_rh_S_intrapariet_and_P_trans	
12158	"ctx_rh_S_oc_middle_and_Lunatus"	#653cdc	ctx_rh_S_oc_middle_and_Lunatus	
12159	"ctx_rh_S_oc_sup_and_transversal"	#15148c	ctx_rh_S_oc_sup_and_transversal	
12160	"ctx_rh_S_occipital_ant"	#3d14b4	ctx_rh_S_occipital_ant	
12161	"ctx_rh_S_oc-temp_lat"	#dd8c14	ctx_rh_S_oc temp_lat	
12162	"ctx_rh_S_oc-temp_med_and_Lingual"	#8d64dc	ctx_rh_S_oc temp_med_and_Lingual	
12163	"ctx_rh_S_orbital_lateral"	#dd6414	ctx_rh_S_orbital_lateral	
12164	"ctx_rh_S_orbital_med-olfact"	#b5c814	ctx_rh_S_orbital_med olfact	
12165	"ctx_rh_S_orbital-H_Shaped"	#651414	ctx_rh_S_orbital H_Shaped	
12166	"ctx_rh_S_parieto_occipital"	#6564b4	ctx_rh_S_parieto_occipital	
12167	"ctx_rh_S_pericallosal"	#b5dc14	ctx_rh_S_pericallosal	
12168	"ctx_rh_S_postcentral"	#158cc8	中央后回	
12169	"ctx_rh_S_precentral-inf-part"	#1514f0	中央前回	
12170	"ctx_rh_S_precentral-sup-part"	#1514c8	中央前回	
12171	"ctx_rh_S_suborbital"	#15143c	ctx_rh_S_suborbital	
12172	"ctx_rh_S_subparietal"	#653c3c	ctx_rh_S_subparietal	
12173	"ctx_rh_S_temporal_inf"	#15b4b4	ctx_rh_S_temporal_inf	
12174	"ctx_rh_S_temporal_sup"	#dfdc3c	ctx_rh_S_temporal_sup	
12175	"ctx_rh_S_temporal_transverse"	#dd3c3c	ctx_rh_S_temporal_transverse	
13100	"wm_lh_Unknown"	#000000	未知	
13101	"wm_lh_G_and_S_frontomargin"	#17dc3c	wm_lh_G_and_S_frontomargin	
13102	"wm_lh_G_and_S_occipital_inf"	#173cb4	wm_lh_G_and_S_occipital_inf	
13103	"wm_lh_G_and_S_paracentral"	#3f643c	旁中央小叶	
13104	"wm_lh_G_and_S_subcentral"	#3f14dc	wm_lh_G_and_S_subcentral	
13105	"wm_lh_G_and_S_transv_frontopol"	#0d00fa	wm_lh_G_and_S_transv_frontopol	
13106	"wm_lh_G_and_S_cingul-Ant"	#1a3c00	wm_lh_G_and_S_cingul Ant	
13107	"wm_lh_G_and_S_cingul-Mid-Ant"	#1a3c4b	wm_lh_G_and_S_cingul Mid Ant	
13108	"wm_lh_G_and_S_cingul-Mid-Post"	#1a3c96	wm_lh_G_and_S_cingul Mid Post	
13109	"wm_lh_G_cingul-Post-dorsal"	#193cfa	wm_lh_G_cingul Post dorsal	
13110	"wm_lh_G_cingul-Post-ventral"	#3c1919	wm_lh_G_cingul Post ventral	
13111	"wm_lh_G_cuneus"	#b41414	楔叶	
13112	"wm_lh_G_front_inf-Opercular"	#dc1464	wm_lh_G_front_inf Opercular	
13113	"wm_lh_G_front_inf-Orbital"	#8c3c3c	wm_lh_G_front_inf Orbital	
13114	"wm_lh_G_front_inf-Triangul"	#b4dc8c	wm_lh_G_front_inf Triangul	
13115	"wm_lh_G_front_middle"	#8c64b4	wm_lh_G_front_middle	
13116	"wm_lh_G_front_sup"	#b4148c	wm_lh_G_front_sup	
13117	"wm_lh_G_Ins_lg_and_S_cent_ins"	#170a0a	wm_lh_G_Ins_lg_and_S_cent_ins	
13118	"wm_lh_G_insular_short"	#e18c8c	岛叶	
13119	"wm_lh_G_occipital_middle"	#b43cb4	wm_lh_G_occipital_middle	
13120	"wm_lh_G_occipital_sup"	#14dc3c	wm_lh_G_occipital_sup	
13121	"wm_lh_G_oc-temp_lat-fusifor"	#3c148c	wm_lh_G_oc temp_lat fusifor	
13122	"wm_lh_G_oc-temp_med-Lingual"	#dcb48c	wm_lh_G_oc temp_med Lingual	
13123	"wm_lh_G_oc-temp_med-Parahip"	#416414	wm_lh_G_oc temp_med Parahip	
13124	"wm_lh_G_orbital"	#dc3c14	wm_lh_G_orbital	
13125	"wm_lh_G_pariet_inf-Angular"	#143cdc	wm_lh_G_pariet_inf Angular	
13126	"wm_lh_G_pariet_inf-Supramar"	#64643c	wm_lh_G_pariet_inf Supramar	
13127	"wm_lh_G_parietal_sup"	#dcb4dc	wm_lh_G_parietal_sup	
13128	"wm_lh_G_postcentral"	#14b48c	中央后回	
13129	"wm_lh_G_precentral"	#3c8cb4	中央前回	
13130	"wm_lh_G_precuneus"	#19148c	楔叶	
13131	"wm_lh_G_rectus"	#143c64	wm_lh_G_rectus	
13132	"wm_lh_G_subcallosal"	#3cdc14	wm_lh_G_subcallosal	
13133	"wm_lh_G_temp_sup-G_T_transv"	#3c3cdc	wm_lh_G_temp_sup G_T_transv	
13134	"wm_lh_G_temp_sup-Lateral"	#dc3cdc	wm_lh_G_temp_sup Lateral	
13135	"wm_lh_G_temp_sup-Plan_polar"	#41dc3c	wm_lh_G_temp_sup Plan_polar	
13136	"wm_lh_G_temp_sup-Plan_tempo"	#198c14	wm_lh_G_temp_sup Plan_tempo	
13137	"wm_lh_G_temporal_inf"	#dcdc64	wm_lh_G_temporal_inf	
13138	"wm_lh_G_temporal_middle"	#b43c3c	wm_lh_G_temporal_middle	
13139	"wm_lh_Lat_Fis-ant-Horizont"	#3d14dc	wm_lh_Lat_Fis ant Horizont	
13140	"wm_lh_Lat_Fis-ant-Vertical"	#3d143c	wm_lh_Lat_Fis ant Vertical	
13141	"wm_lh_Lat_Fis-post"	#3d3c64	wm_lh_Lat_Fis post	
13142	"wm_lh_Medial_wall"	#191919	wm_lh_Medial_wall	
13143	"wm_lh_Pole_occipital"	#8c143c	wm_lh_Pole_occipital	
13144	"wm_lh_Pole_temporal"	#dcb414	wm_lh_Pole_temporal	
13145	"wm_lh_S_calcarine"	#3fb4b4	wm_lh_S_calcarine	
13146	"wm_lh_S_central"	#dd140a	wm_lh_S_central	
13147	"wm_lh_S_cingul-Marginalis"	#dd1464	wm_lh_S_cingul Marginalis	
13148	"wm_lh_S_circular_insula_ant"	#dd3c8c	岛叶	
13149	"wm_lh_S_circular_insula_inf"	#dd14dc	岛叶	
13150	"wm_lh_S_circular_insula_sup"	#3ddcdc	岛叶	
13151	"wm_lh_S_collat_transv_ant"	#64c8c8	wm_lh_S_collat_transv_ant	
13152	"wm_lh_S_collat_transv_post"	#0ac8c8	wm_lh_S_collat_transv_post	
13153	"wm_lh_S_front_inf"	#dddc14	wm_lh_S_front_inf	
13154	"wm_lh_S_front_middle"	#8d1464	wm_lh_S_front_middle	
13155	"wm_lh_S_front_sup"	#3ddc64	wm_lh_S_front_sup	
13156	"wm_lh_S_interm_prim-Jensen"	#8d3c14	wm_lh_S_interm_prim Jensen	
13157	"wm_lh_S_intrapariet_and_P_trans"	#8f14dc	wm_lh_S_intrapariet_and_P_trans	
13158	"wm_lh_S_oc_middle_and_Lunatus"	#653cdc	wm_lh_S_oc_middle_and_Lunatus	
13159	"wm_lh_S_oc_sup_and_transversal"	#15148c	wm_lh_S_oc_sup_and_transversal	
13160	"wm_lh_S_occipital_ant"	#3d14b4	wm_lh_S_occipital_ant	
13161	"wm_lh_S_oc-temp_lat"	#dd8c14	wm_lh_S_oc temp_lat	
13162	"wm_lh_S_oc-temp_med_and_Lingual"	#8d64dc	wm_lh_S_oc temp_med_and_Lingual	
13163	"wm_lh_S_orbital_lateral"	#dd6414	wm_lh_S_orbital_lateral	
13164	"wm_lh_S_orbital_med-olfact"	#b5c814	wm_lh_S_orbital_med olfact	
13165	"wm_lh_S_orbital-H_Shaped"	#651414	wm_lh_S_orbital H_Shaped	
13166	"wm_lh_S_parieto_occipital"	#6564b4	wm_lh_S_parieto_occipital	
13167	"wm_lh_S_pericallosal"	#b5dc14	wm_lh_S_pericallosal	
13168	"wm_lh_S_postcentral"	#158cc8	中央后回	
13169	"wm_lh_S_precentral-inf-part"	#1514f0	中央前回	
13170	"wm_lh_S_precentral-sup-part"	#1514c8	中央前回	
13171	"wm_lh_S_suborbital"	#15143c	wm_lh_S_suborbital	
13172	"wm_lh_S_subparietal"	#653c3c	wm_lh_S_subparietal	
13173	"wm_lh_S_temporal_inf"	#15b4b4	wm_lh_S_temporal_inf	
13174	"wm_lh_S_temporal_sup"	#dfdc3c	wm_lh_S_temporal_sup	
13175	"wm_lh_S_temporal_transverse"	#dd3c3c	wm_lh_S_temporal_transverse	
14100	"wm_rh_Unknown"	#000000	未知	
14101	"wm_rh_G_and_S_frontomargin"	#17dc3c	wm_rh_G_and_S_frontomargin	
14102	"wm_rh_G_and_S_occipital_inf"	#173cb4	wm_rh_G_and_S_occipital_inf	
14103	"wm_rh_G_and_S_paracentral"	#3f643c	旁中央小叶	
14104	"wm_rh_G_and_S_subcentral"	#3f14dc	wm_rh_G_and_S_subcentral	
14105	"wm_rh_G_and_S_transv_frontopol"	#0d00fa	wm_rh_G_and_S_transv_frontopol	
14106	"wm_rh_G_and_S_cingul-Ant"	#1a3c00	wm_rh_G_and_S_cingul Ant	
14107	"wm_rh_G_and_S_cingul-Mid-Ant"	#1a3c4b	wm_rh_G_and_S_cingul Mid Ant	
14108	"wm_rh_G_and_S_cingul-Mid-Post"	#1a3c96	wm_rh_G_and_S_cingul Mid Post	
14109	"wm_rh_G_cingul-Post-dorsal"	#193cfa	wm_rh_G_cingul Post dorsal	
14110	"wm_rh_G_cingul-Post-ventral"	#3c1919	wm_rh_G_cingul Post ventral	
14111	"wm_rh_G_cuneus"	#b41414	楔叶	
14112	"wm_rh_G_front_inf-Opercular"	#dc1464	wm_rh_G_front_inf Opercular	
14113	"wm_rh_G_front_inf-Orbital"	#8c3c3c	wm_rh_G_front_inf Orbital	
14114	"wm_rh_G_front_inf-Triangul"	#b4dc8c	wm_rh_G_front_inf Triangul	
14115	"wm_rh_G_front_middle"	#8c64b4	wm_rh_G_front_middle	
14116	"wm_rh_G_front_sup"	#b4148c	wm_rh_G_front_sup	
14117	"wm_rh_G_Ins_lg_and_S_cent_ins"	#170a0a	wm_rh_G_Ins_lg_and_S_cent_ins	
14118	"wm_rh_G_insular_short"	#e18c8c	岛叶	
14119	"wm_rh_G_occipital_middle"	#b43cb4	wm_rh_G_occipital_middle	
14120	"wm_rh_G_occipital_sup"	#14dc3c	wm_rh_G_occipital_sup	
14121	"wm_rh_G_oc-temp_lat-fusifor"	#3c148c	wm_rh_G_oc temp_lat fusifor	
14122	"wm_rh_G_oc-temp_med-Lingual"	#dcb48c	wm_rh_G_oc temp_med Lingual	
14123	"wm_rh_G_oc-temp_med-Parahip"	#416414	wm_rh_G_oc temp_med Parahip	
14124	"wm_rh_G_orbital"	#dc3c14	wm_rh_G_orbital	
14125	"wm_rh_G_pariet_inf-Angular"	#143cdc	wm_rh_G_pariet_inf Angular	
14126	"wm_rh_G_pariet_inf-Supramar"	#64643c	wm_rh_G_pariet_inf Supramar	
14127	"wm_rh_G_parietal_sup"	#dcb4dc	wm_rh_G_parietal_sup	
14128	"wm_rh_G_postcentral"	#14b48c	中央后回	
14129	"wm_rh_G_precentral"	#3c8cb4	中央前回	
14130	"wm_rh_G_precuneus"	#19148c	楔叶	
14131	"wm_rh_G_rectus"	#143c64	wm_rh_G_rectus	
14132	"wm_rh_G_subcallosal"	#3cdc14	wm_rh_G_subcallosal	
14133	"wm_rh_G_temp_sup-G_T_transv"	#3c3cdc	wm_rh_G_temp_sup G_T_transv	
14134	"wm_rh_G_temp_sup-Lateral"	#dc3cdc	wm_rh_G_temp_sup Lateral	
14135	"wm_rh_G_temp_sup-Plan_polar"	#41dc3c	wm_rh_G_temp_sup Plan_polar	
14136	"wm_rh_G_temp_sup-Plan_tempo"	#198c14	wm_rh_G_temp_sup Plan_tempo	
14137	"wm_rh_G_temporal_inf"	#dcdc64	wm_rh_G_temporal_inf	
14138	"wm_rh_G_temporal_middle"	#b43c3c	wm_rh_G_temporal_middle	
14139	"wm_rh_Lat_Fis-ant-Horizont"	#3d14dc	wm_rh_Lat_Fis ant Horizont	
14140	"wm_rh_Lat_Fis-ant-Vertical"	#3d143c	wm_rh_Lat_Fis ant Vertical	
14141	"wm_rh_Lat_Fis-post"	#3d3c64	wm_rh_Lat_Fis post	
14142	"wm_rh_Medial_wall"	#191919	wm_rh_Medial_wall	
14143	"wm_rh_Pole_occipital"	#8c143c	wm_rh_Pole_occipital	
14144	"wm_rh_Pole_temporal"	#dcb414	wm_rh_Pole_temporal	
14145	"wm_rh_S_calcarine"	#3fb4b4	wm_rh_S_calcarine	
14146	"wm_rh_S_central"	#dd140a	wm_rh_S_central	
14147	"wm_rh_S_cingul-Marginalis"	#dd1464	wm_rh_S_cingul Marginalis	
14148	"wm_rh_S_circular_insula_ant"	#dd3c8c	岛叶	
14149	"wm_rh_S_circular_insula_inf"	#dd14dc	岛叶	
14150	"wm_rh_S_circular_insula_sup"	#3ddcdc	岛叶	
14151	"wm_rh_S_collat_transv_ant"	#64c8c8	wm_rh_S_collat_transv_ant	
14152	"wm_rh_S_collat_transv_post"	#0ac8c8	wm_rh_S_collat_transv_post	
14153	"wm_rh_S_front_inf"	#dddc14	wm_rh_S_front_inf	
14154	"wm_rh_S_front_middle"	#8d1464	wm_rh_S_front_middle	
14155	"wm_rh_S_front_sup"	#3ddc64	wm_rh_S_front_sup	
14156	"wm_rh_S_interm_prim-Jensen"	#8d3c14	wm_rh_S_interm_prim Jensen	
14157	"wm_rh_S_intrapariet_and_P_trans"	#8f14dc	wm_rh_S_intrapariet_and_P_trans	
14158	"wm_rh_S_oc_middle_and_Lunatus"	#653cdc	wm_rh_S_oc_middle_and_Lunatus	
14159	"wm_rh_S_oc_sup_and_transversal"	#15148c	wm_rh_S_oc_sup_and_transversal	
14160	"wm_rh_S_occipital_ant"	#3d14b4	wm_rh_S_occipital_ant	
